Longitude,Latitude,pres,wc2.1_5m_bio_1,wc2.1_5m_bio_10,wc2.1_5m_bio_11,wc2.1_5m_bio_12,wc2.1_5m_bio_13,wc2.1_5m_bio_14,wc2.1_5m_bio_15,wc2.1_5m_bio_16,wc2.1_5m_bio_17,wc2.1_5m_bio_18,wc2.1_5m_bio_19,wc2.1_5m_bio_2,wc2.1_5m_bio_3,wc2.1_5m_bio_4,wc2.1_5m_bio_5,wc2.1_5m_bio_6,wc2.1_5m_bio_7,wc2.1_5m_bio_8,wc2.1_5m_bio_9
-65.3833,-10.3833,1,26.7534513474249,27.486658974808,25.9093957134509,1751.52223872,283.8008,22.08967984,63.0563490165381,764.18927984,80.9702395199998,408.67143952,149.87063952,10.9649844648213,74.804308767561,63.655906797594,33.7927899906933,19.134355001835,14.6584349888583,26.8126915550327,26.0188589800644
-65.1333,-16.8,1,25.4789152928162,27.1038109069824,22.7798990307617,3589.50148,567.314720000001,112.1004,53.4836749134827,1527.97804,380.71116,1511.23527999999,395.51912,11.0928696707535,64.881886842041,191.36301298645,32.7096738162232,15.612672540741,17.0970018864441,27.1034821985626,23.807798531189
-63.6667,-17.45,1,24.2460358891296,26.4081271453094,21.0304680431366,1540.08099999999,257.854839999999,53.9007999999999,52.0731931427002,679.463639999996,185.453959999999,679.463639999996,190.703679999999,10.4423518546677,62.5171064781189,231.170363840942,31.6422785806274,14.9390769764709,16.7032019860077,26.4081271453094,22.2641688671112
-63.85,-17.4,1,24.3965368080139,26.5566094589233,21.2040899276733,1740.26,289.26,59.17,52.260990486145,767.89,210.74,767.89,215.74,10.6916925907135,63.6149738311768,227.880480041504,31.8625603103638,15.05551030159,16.8070498085022,26.5566094589233,22.3710184860229
-64.4167,-16,1,25.599007093811,27.1105468437195,23.1272563282013,2558.28900000001,397.755800000001,71.7510000000003,56.191748903656,1120.7666,247.253800000001,815.260200000002,247.253800000001,10.4037695428848,63.8833843719483,176.612646328736,32.6762442581177,16.3905195919037,16.285724666214,27.0361748683929,23.1272563282013
-63.1667,-17.8,1,24.3291105788422,26.5180893193817,21.0706164727783,1253.71375999999,192.602879999998,46.2003999999996,46.8540852435303,516.504159999996,151.301199999998,516.504159999996,193.853879999998,10.1339344080353,61.7719876496888,234.90532263794,31.7733117440033,15.3684247648621,16.4048873609162,26.5180893193817,22.453093680954
-56.7333,-2.6,1,27.2644445883942,28.2782177719116,26.6254754253387,2366.46204,354.208919999999,62.3991999999999,52.0389352384948,988.738079999999,225.01744,258.0984,940.735279999998,8.19264447296143,76.4642252597045,69.116786140442,33.2678447122192,22.5531871973419,10.7146575148773,26.6400031650543,28.0904585123444
-59.1333,-3.7,1,27.039525471344,27.7913390332031,26.493645945816,2278.29404,305.37332,84.5497999999997,45.7700463432313,870.5558,265.089639999999,365.06852,856.96376,8.42473033622742,79.8205912280274,52.6934409576416,32.5798370256042,22.025229806366,10.5546072192383,26.5652273495483,27.3011003352356
-60.0833,-3.1333,1,26.8908382215134,27.5894406464993,26.3837766866428,2240.48353872,302.35232112,57.7047219200001,50.3487654533142,887.65608368,221.06272592,372.35504304,870.40408288,7.79342192778947,81.83845941156,50.8556713056964,32.126113192121,22.6010323318588,9.52508086026216,26.4134489354169,27.1957868797452
-64.8333,-0.5167,1,26.5742536459509,26.8705130014725,26.115242900585,2478.17032784,316.053121440001,153.85088016,26.1328010271323,842.209123840002,482.002480960001,489.252800800001,700.506803200002,9.4092082756032,89.377102789718,32.8645747712487,31.9336561585462,21.4060789953873,10.5275771631589,26.3247637601453,26.777962133158
